"ID";"LuchthavensHerkomstBestemming";"Perioden";"TotaalAantalPassagiers_1";"PassagiersAangekomenInNederland_2";"PassagiersVertrokkenUitNederland_3"
"0";"T001354";"1998JJ00";"33946104";"16899139";"17046965"
"1";"T001354";"1999JJ00";"36425113";"18186152";"18238961"
"2";"T001354";"2000JJ00";"39270610";"19580140";"19690470"
"3";"T001354";"2001JJ00";"39309441";"19629040";"19680401"
"4";"T001354";"2002JJ00";"40587562";"20241604";"20345958"
"5";"T001354";"2003JJ00";"39808649";"19849930";"19958719"
"6";"T001354";"2004JJ00";"42425392";"21139285";"21286107"
"7";"T001354";"2005JJ00";"44077539";"21927211";"22150328"
"8";"T001354";"2006JJ00";"45988966";"22907010";"23081956"
"9";"T001354";"2007JJ00";"47744748";"23849815";"23894933"
"10";"T001354";"2008JJ00";"47391711";"23703666";"23688045"
"11";"T001354";"2009JJ00";"43523110";"21826162";"21696948"
"12";"T001354";"2010JJ00";"45136882";"22660597";"22476285"
"13";"T001354";"2011JJ00";"49680625";"24917978";"24762647"
"14";"T001354";"2012JJ00";"50975592";"25504382";"25471210"
"15";"T001354";"2013JJ00";"52527699";"26257395";"26270304"
"16";"T001354";"2014JJ00";"54940534";"27454136";"27486398"
"17";"T001354";"2015JJ00";"58245291";"29088171";"29157120"
"18";"T001354";"2016JJ00";"63526363";"31715984";"31810379"
"19";"T001354";"2017JJ00";"68400387";"34183827";"34216560"
"20";"T001354";"2018JJ00";"70956594";"35361064";"35595530"
"21";"T001354";"2019JJ00";"71680013";"35726627";"35953386"
"22";"T001354";"2020JJ00";"20884510";"10494640";"10389870"
"23";"T001354";"2021JJ00";"25490810";"12692297";"12798513"
"24";"T001354";"2022JJ00";"52470880";"26396224";"26074656"
"25";"A043087";"1998JJ00";"";"       .";""
"26";"A043087";"1999JJ00";"";"       .";""
"27";"A043087";"2000JJ00";"";"       .";""
"28";"A043087";"2001JJ00";"";"       .";""
"29";"A043087";"2002JJ00";"";"       .";""
"30";"A043087";"2003JJ00";"";"       .";""
"31";"A043087";"2004JJ00";"";"       .";""
"32";"A043087";"2005JJ00";"       .";"       .";"       ."
"33";"A043087";"2006JJ00";"";"       .";""
"34";"A043087";"2007JJ00";"";"       .";""
"35";"A043087";"2008JJ00";"";"       .";""
"36";"A043087";"2009JJ00";"";"       .";""
"37";"A043087";"2010JJ00";"";"       .";""
"38";"A043087";"2011JJ00";"";"       .";""
"39";"A043087";"2012JJ00";"";"       .";""
"40";"A043087";"2013JJ00";"";"       .";""
"41";"A043087";"2014JJ00";"";"       .";""
"42";"A043087";"2015JJ00";"";"       .";""
"43";"A043087";"2016JJ00";"";"       .";""
"44";"A043087";"2017JJ00";"";"       .";""
"45";"A043087";"2018JJ00";"";"       .";""
"46";"A043087";"2019JJ00";"";"       .";""
"47";"A043087";"2020JJ00";"       .";"       .";"       ."
"48";"A043087";"2021JJ00";"";"       .";""
"49";"A043087";"2022JJ00";"";"       .";""
"50";"A043088";"1998JJ00";"";"       .";""
"51";"A043088";"1999JJ00";"";"       .";""
"52";"A043088";"2000JJ00";"";"       .";""
"53";"A043088";"2001JJ00";"";"       .";""
"54";"A043088";"2002JJ00";"";"       .";""
"55";"A043088";"2003JJ00";"";"       .";""
"56";"A043088";"2004JJ00";"";"       .";""
"57";"A043088";"2005JJ00";"";"       .";""
"58";"A043088";"2006JJ00";"";"       .";""
"59";"A043088";"2007JJ00";"";"       .";""
"60";"A043088";"2008JJ00";"";"       .";""
"61";"A043088";"2009JJ00";"";"       .";""
"62";"A043088";"2010JJ00";"       .";"       .";"       ."
"63";"A043088";"2011JJ00";"       .";"       .";"       ."
"64";"A043088";"2012JJ00";"";"       .";""
"65";"A043088";"2013JJ00";"";"       .";""
"66";"A043088";"2014JJ00";"";"       .";""
"67";"A043088";"2015JJ00";"";"       .";""
"68";"A043088";"2016JJ00";"";"       .";""
"69";"A043088";"2017JJ00";"";"       .";""
"70";"A043088";"2018JJ00";"";"       .";""
